folder_name,year,arbitration_id,doc_name,match_method
1987_aapl_v_sri_lanka_dissenting_opinion_of_samuel_k_b_asante,1987,1987_aapl_v_sri_lanka,dissenting_opinion_of_samuel_k_b_asante,metadata
1987_aapl_v_sri_lanka_final_award,1987,1987_aapl_v_sri_lanka,final_award,metadata
1993_amt_v_democratic_republic_of_the_congo_award_reproduced_with_permission_from_36_ilm_1534_asil_and_heinonline,1993,1993_amt_v_democratic_republic_of_the_congo,award_reproduced_with_permission_from_36_ilm_1534_asil_and_heinonline,metadata
1993_amt_v_democratic_republic_of_the_congo_statement_of_individual_opinion_and_declaration_reproduced_with_permission_from_36_ilm_1534_asil_and_heinonline,1993,1993_amt_v_democratic_republic_of_the_congo,statement_of_individual_opinion_and_declaration_reproduced_with_permission_from_36_ilm_1534_asil_and_heinonline,metadata
1994_saar_papier_v_poland_i_decision_of_the_swiss_federal_tribunal_german,1994,1994_saar_papier_v_poland_i,decision_of_the_swiss_federal_tribunal_german,metadata
1994_saar_papier_v_poland_i_dissenting_opinion_of_dr_habil_tadeusz_szurski,1994,1994_saar_papier_v_poland_i,dissenting_opinion_of_dr_habil_tadeusz_szurski,metadata
1994_saar_papier_v_poland_i_dissenting_opinion_of_dr_habil_tadeusz_szurski_jurisdiction,1994,1994_saar_papier_v_poland_i,dissenting_opinion_of_dr_habil_tadeusz_szurski_jurisdiction,metadata
1994_saar_papier_v_poland_i_final_award,1994,1994_saar_papier_v_poland_i,final_award,metadata
1994_saar_papier_v_poland_i_interim_award_jurisdiction,1994,1994_saar_papier_v_poland_i,interim_award_jurisdiction,metadata
1994_tradex_v_albania_award,1994,1994_tradex_v_albania,award,heuristic
1994_tradex_v_albania_decision_on_jurisdiction,1994,1994_tradex_v_albania,decision_on_jurisdiction,heuristic
1995_goetz_v_burundi_i_award_embodying_the_parties_settlement_agreement_french,1995,1995_goetz_v_burundi_i,award_embodying_the_parties_settlement_agreement_french,metadata
1996_biedermann_v_kazakhstan_decision_of_us_court_of_appeals_for_the_fifth_circuit,1996,1996_biedermann_v_kazakhstan,decision_of_us_court_of_appeals_for_the_fifth_circuit,metadata
1996_fedax_v_venezuela_award_reproduced_with_permission_from_37_ilm_1378_asil_and_heinonline,1996,1996_fedax_v_venezuela,award_reproduced_with_permission_from_37_ilm_1378_asil_and_heinonline,metadata
1996_fedax_v_venezuela_decision_of_the_tribunal_on_objections_to_jurisdiction_reproduced_with_permission_from_37_ilm_1378_asil_and_heinonline,1996,1996_fedax_v_venezuela,decision_of_the_tribunal_on_objections_to_jurisdiction_reproduced_with_permission_from_37_ilm_1378_asil_and_heinonline,metadata
1996_sedelmayer_v_russia_arbitration_award,1996,1996_sedelmayer_v_russia,arbitration_award,metadata
1996_sedelmayer_v_russia_decision_of_landgericht_hagen_german,1996,1996_sedelmayer_v_russia,decision_of_landgericht_hagen_german,metadata
1996_sedelmayer_v_russia_decision_of_landgericht_k_ln_german,1996,1996_sedelmayer_v_russia,decision_of_landgericht_k_ln_german,metadata
1996_sedelmayer_v_russia_decision_of_oberlandesgericht_k_ln_german,1996,1996_sedelmayer_v_russia,decision_of_oberlandesgericht_k_ln_german,metadata
1996_sedelmayer_v_russia_decision_of_the_bundesgerichtshof_case_no_vii_zb_37_08,1996,1996_sedelmayer_v_russia,decision_of_the_bundesgerichtshof_case_no_vii_zb_37_08,metadata
1996_sedelmayer_v_russia_decision_of_the_bundesverfassungsgericht_case_no_2_bvr_2162_07_and_case_no_2_bvr_2271_07,1996,1996_sedelmayer_v_russia,decision_of_the_bundesverfassungsgericht_case_no_2_bvr_2162_07_and_case_no_2_bvr_2271_07,metadata
1996_sedelmayer_v_russia_decision_of_the_german_federal_court_of_justice_german,1996,1996_sedelmayer_v_russia,decision_of_the_german_federal_court_of_justice_german,metadata
1996_sedelmayer_v_russia_decision_of_the_kammergericht_berlin_case_no_1_w_276_09,1996,1996_sedelmayer_v_russia,decision_of_the_kammergericht_berlin_case_no_1_w_276_09,metadata
1996_sedelmayer_v_russia_decision_of_the_kammergericht_berlin_case_no_20_sch_1_07,1996,1996_sedelmayer_v_russia,decision_of_the_kammergericht_berlin_case_no_20_sch_1_07,metadata
1996_sedelmayer_v_russia_decision_of_the_kammergericht_berlin_case_no_25_w_15_03,1996,1996_sedelmayer_v_russia,decision_of_the_kammergericht_berlin_case_no_25_w_15_03,metadata
1996_sedelmayer_v_russia_decision_of_the_landgericht_k_ln_case_no_22_o_410_03,1996,1996_sedelmayer_v_russia,decision_of_the_landgericht_k_ln_case_no_22_o_410_03,metadata
1996_sedelmayer_v_russia_decision_of_the_landgericht_k_ln_case_no_7_o_26_06,1996,1996_sedelmayer_v_russia,decision_of_the_landgericht_k_ln_case_no_7_o_26_06,metadata
1996_sedelmayer_v_russia_decision_of_the_oberlandesgericht_k_ln_case_no_11_u_6_07,1996,1996_sedelmayer_v_russia,decision_of_the_oberlandesgericht_k_ln_case_no_11_u_6_07,metadata
1996_sedelmayer_v_russia_decision_of_the_oberlandesgericht_k_ln_case_no_16_w_35_02,1996,1996_sedelmayer_v_russia,decision_of_the_oberlandesgericht_k_ln_case_no_16_w_35_02,metadata
1996_sedelmayer_v_russia_decision_of_the_oberlandesgericht_k_ln_case_no_8_w_59_07,1996,1996_sedelmayer_v_russia,decision_of_the_oberlandesgericht_k_ln_case_no_8_w_59_07,metadata
1996_sedelmayer_v_russia_decision_of_the_stockholm_district_court_on_the_set_aside_application_swedish,1996,1996_sedelmayer_v_russia,decision_of_the_stockholm_district_court_on_the_set_aside_application_swedish,metadata
1996_sedelmayer_v_russia_decision_of_the_swedish_supreme_court_swedish,1996,1996_sedelmayer_v_russia,decision_of_the_swedish_supreme_court_swedish,metadata
1996_sedelmayer_v_russia_dissenting_opinion_of_arbitrator_prof_ivan_s_zykin,1996,1996_sedelmayer_v_russia,dissenting_opinion_of_arbitrator_prof_ivan_s_zykin,metadata
1996_sedelmayer_v_russia_judgment_of_the_city_court_of_stockholm_german,1996,1996_sedelmayer_v_russia,judgment_of_the_city_court_of_stockholm_german,metadata
1996_sedelmayer_v_russia_judgment_of_the_svea_court_of_appeal_english,1996,1996_sedelmayer_v_russia,judgment_of_the_svea_court_of_appeal_english,metadata
1996_sedelmayer_v_russia_order_of_the_german_federal_supreme_court_german,1996,1996_sedelmayer_v_russia,order_of_the_german_federal_supreme_court_german,metadata
1997_azinian_v_mexico_award_english,1997,1997_azinian_v_mexico,award_english,metadata
1997_azinian_v_mexico_claimants_closing_memorial,1997,1997_azinian_v_mexico,claimants_closing_memorial,metadata
1997_azinian_v_mexico_claimants_memorial,1997,1997_azinian_v_mexico,claimants_memorial,metadata
1997_azinian_v_mexico_claimants_reply_to_counter_memorial_english,1997,1997_azinian_v_mexico,claimants_reply_to_counter_memorial_english,metadata
1997_azinian_v_mexico_counter_memorial_spanish,1997,1997_azinian_v_mexico,counter_memorial_spanish,metadata
1997_azinian_v_mexico_interim_decision_concerning_respondent_s_motion_for_directions,1997,1997_azinian_v_mexico,interim_decision_concerning_respondent_s_motion_for_directions,metadata
1997_azinian_v_mexico_notice_of_arbitration,1997,1997_azinian_v_mexico,notice_of_arbitration,metadata
1997_azinian_v_mexico_notice_of_intent_to_submit_a_claim_to_arbitration,1997,1997_azinian_v_mexico,notice_of_intent_to_submit_a_claim_to_arbitration,metadata
1997_azinian_v_mexico_respondent_s_post_hearing_submission,1997,1997_azinian_v_mexico,respondent_s_post_hearing_submission,metadata
1997_azinian_v_mexico_respondent_s_rejoinder_english,1997,1997_azinian_v_mexico,respondent_s_rejoinder_english,metadata
1997_csob_v_slovakia_award,1997,1997_csob_v_slovakia,award,metadata
1997_csob_v_slovakia_decision_of_the_tribunal_on_objections_to_jurisdiction,1997,1997_csob_v_slovakia,decision_of_the_tribunal_on_objections_to_jurisdiction,metadata
1997_csob_v_slovakia_decision_of_the_tribunal_on_respondent_s_further_and_partial_objection_to_jurisdiction,1997,1997_csob_v_slovakia,decision_of_the_tribunal_on_respondent_s_further_and_partial_objection_to_jurisdiction,metadata
1997_csob_v_slovakia_procedural_order_no_2,1997,1997_csob_v_slovakia,procedural_order_no_2,metadata
1997_csob_v_slovakia_procedural_order_no_3,1997,1997_csob_v_slovakia,procedural_order_no_3,metadata
1997_csob_v_slovakia_procedural_order_no_4,1997,1997_csob_v_slovakia,procedural_order_no_4,metadata
1997_csob_v_slovakia_procedural_order_no_5,1997,1997_csob_v_slovakia,procedural_order_no_5,metadata
1997_ethyl_v_canada_award_on_jurisdiction,1997,1997_ethyl_v_canada,award_on_jurisdiction,metadata
1997_ethyl_v_canada_notice_of_arbitration,1997,1997_ethyl_v_canada,notice_of_arbitration,metadata
1997_ethyl_v_canada_notice_of_intent_to_submit_a_claim_to_arbitration,1997,1997_ethyl_v_canada,notice_of_intent_to_submit_a_claim_to_arbitration,metadata
1997_ethyl_v_canada_procedural_order_no_1,1997,1997_ethyl_v_canada,procedural_order_no_1,metadata
1997_ethyl_v_canada_respondent_s_memorandum_of_argument_on_place_of_arbitration,1997,1997_ethyl_v_canada,respondent_s_memorandum_of_argument_on_place_of_arbitration,metadata
1997_ethyl_v_canada_tribunal_s_decision_on_the_place_of_arbitration,1997,1997_ethyl_v_canada,tribunal_s_decision_on_the_place_of_arbitration,metadata
1997_lanco_v_argentina_jurisdiction_of_the_arbitral_tribunal_reproduced_with_permission_from_40_ilm_457_asil_and_heinonline,1997,1997_lanco_v_argentina,jurisdiction_of_the_arbitral_tribunal_reproduced_with_permission_from_40_ilm_457_asil_and_heinonline,metadata
1997_maffezini_v_spain_award_english,1997,1997_maffezini_v_spain,award_english,metadata
1997_maffezini_v_spain_decision_of_the_tribunal_on_objections_to_jurisdiction_english,1997,1997_maffezini_v_spain,decision_of_the_tribunal_on_objections_to_jurisdiction_english,metadata
1997_maffezini_v_spain_decision_on_request_for_provisional_measures_spanish,1997,1997_maffezini_v_spain,decision_on_request_for_provisional_measures_spanish,metadata
1997_maffezini_v_spain_procedural_order_no_2_english,1997,1997_maffezini_v_spain,procedural_order_no_2_english,metadata
1997_maffezini_v_spain_rectification_of_the_award_english,1997,1997_maffezini_v_spain,rectification_of_the_award_english,metadata
1997_metalclad_v_mexico_award_english,1997,1997_metalclad_v_mexico,award_english,metadata
1997_metalclad_v_mexico_challenge_to_the_arbitral_award,1997,1997_metalclad_v_mexico,challenge_to_the_arbitral_award,metadata
1997_metalclad_v_mexico_claimant_s_memorial_volume_i_english,1997,1997_metalclad_v_mexico,claimant_s_memorial_volume_i_english,metadata
1997_metalclad_v_mexico_claimant_s_post_hearing_brief,1997,1997_metalclad_v_mexico,claimant_s_post_hearing_brief,metadata
1997_metalclad_v_mexico_claimant_s_reply_english,1997,1997_metalclad_v_mexico,claimant_s_reply_english,metadata
1997_metalclad_v_mexico_decision_by_the_tribunal_on_a_request_of_the_claimant_concerning_the_filing_of_the_respondent_s_counter_memorial_and_its_annexes,1997,1997_metalclad_v_mexico,decision_by_the_tribunal_on_a_request_of_the_claimant_concerning_the_filing_of_the_respondent_s_counter_memorial_and_its_annexes,metadata
1997_metalclad_v_mexico_decision_on_a_request_by_the_respondent_for_an_order_prohibiting_the_claimant_from_revealing_information,1997,1997_metalclad_v_mexico,decision_on_a_request_by_the_respondent_for_an_order_prohibiting_the_claimant_from_revealing_information,metadata
